hash_id,postal_code,company,location,notice_date,effective_date,jobs,is_temporary,is_closure,is_amendment
f0dcc1caa2cb98a04c7dbca61f3d2c4c810e6d9ba8332c1e0a606c5b,CA,Maxar Space LLC,3875 Fabian Way  Palo Alto CA 94303,2024-10-15,2024-10-18,31,,,False
4d0f3f999a42580aa7ca7e5d84861dc9b15e7a7f2c24473ed841f35c,CA,Maxar Space LLC,1050 E. Meadow Circle  Palo Alto CA 94303,2024-10-15,2024-10-18,21,,,False
d7f2f720c69845edee4c6c2c1f4759c7b6d1da5e5ae6bbd3a2d58dfb,CA,Maxar Space LLC,2288 Charleston Road  Mountain View CA 94303,2024-10-15,2024-10-18,3,,,False
bb396d37cfe8c784e593d152a328413d31b3a009276fae247c4be686,CA,Maxar Space LLC,2495 Leghorn Street  Mountain View CA 94303,2024-10-15,2024-10-18,6,,,False
089fea5ad7159c28fc6479c96c06a9bf440c5e19ebfe08fa75190edb,CA,Intel Corporation,1900 Prairie City Rd.  Folsom CA 95630,2024-10-15,2024-11-15,272,,,False
83795ad3a65d7e69208efb79cd00f7bde8fc37346ab5c1e918acf3d2,CA,Intel Corporation,101 Innovation Drive  San Jose CA 95134,2024-10-15,2024-11-15,47,,,False
0c4bcff90555cf389d6362820bc1345fc1e2745d1e83f452594ae6d5,CA,"Elevance Health, Inc.",21215 Burbank Blvd.  Woodland Hills CA 91367,2024-10-14,2024-10-18,59,,,False
72e35bb00d1023fc359bb1b370221e78e762a9cbaf39145b49395e71,CA,"Elevance Health, Inc.",12900 Park Plaza Drive Suite 150  Cerritos CA 90703,2024-10-14,2024-10-18,64,,,False
ba98d337dc150ebdf401aa1db7bbdb1859fb4be85481d9342b73ea01,CA,"Benson House, Inc.",35525 Pony Trail Road  Hemet CA 92545,2024-10-16,2024-12-15,33,,,False
c7d1a2243b59692726fcf4dd641289585e0e514b66f81886c25a0854,CA,"Benson House, Inc.",29220 Via Las Palmas  Thousand Palms CA 92276,2024-10-16,2024-12-15,44,,,False
2c19e196a9e5d6f9a950bfbc8c5b2a4792a672d371cce36620a5c0db,CA,"Benson House, Inc.",41218 Crest Drive  Hemet CA 92545,2024-10-16,2024-12-15,44,,,False
3d881fcee9d94304dae661cf6f1a8702dca2f8bae00c6bd16736aa7d,CA,"Forest River, Inc.",920 West Mayberry Avenue  Hemet CA 92543,2024-10-15,2024-12-13,239,,True,False
f075ddab04e2df552de5633ae4108929a25b454f2bbfd5f59255ba38,CA,"Forest River, Inc.",255 S. Pepper Avenue  Rialto CA 92376,2024-10-15,2024-12-13,176,,True,False
0478a439d95e49c26815e415aed7f3c2e2ff7e21f9cc95d40d64dcbc,CT,Gritstone,Remote,2024-10-16,2024-12-06,1,,True,False
4f87e0710d5bed63ce26dade82b314ecf5d65703ee6168ce476e434b,FL,DP Holdings Colorado LLC,PALATKA,2024-10-16,2024-12-31,113,,,False
af059388699c60634ccf7a78e1299d94168d2d744ca7ac69d8c666f0,IL,"Acuity Optical Laboratories, LLC","2221 W. College Ave.  Normal, IL 61761",2024-10-16,,99,,True,False
47486fe2111b91d6effa0553651b1bdc4f6473d5cf521a1550cfa8ad,KS,Pfizer,McPherson,2024-10-11,,80,,,False
